ID,Acente Adı,Resmi Tam Ünvan (Long Name),Segment,Şehir,Açık Adres,PIB,MB,Kuruluş Tarihi,İşletme Ölçeği,Çalışan Sayısı (2023),Çalışan Sayısı (2024),Çalışan Sayısı (2025),Toplam Gelir (2023),Toplam Gelir (2024),Toplam Gelir (2025),Telefon Numaraları,Web / Profil Linkleri
239,ALFA PLUS NEKRETNINE,,,Beograd,Ulica Podravska 4 11010 - Beograd,,,,,-,-,-,-,-,-,"011 2469363,063 247555",https://www.nekretnine.rs/en/agencije-za-nekretnine/359/
79,ALFA SISTEM NEKRETNINE,,,Beograd,"Lamartinova 3, 3 3 11118 - Beograd",,,,,-,-,-,-,-,-,"063 7269422,064 1757131",https://www.nekretnine.rs/en/agencije-za-nekretnine/685/
288,ALTA PROPERTY,,,Beograd,Francuska 12 12 11158 - Beograd,,,,,-,-,-,-,-,-,065 4596884,"https://www.indomio.rs/en/agent/alta-property/30017,https://www.nekretnine.rs/en/agencije-za-nekretnine/1137/"
302,AMAJLIJA NEKRETNINE,,,Beograd,"Танаска Рајића, 68 38 11224 - Beograd",,,,,-,-,-,-,-,-,069 1998777,"https://www.indomio.rs/en/agent/amajlija-nekretnine/29602,https://www.nekretnine.rs/en/agencije-za-nekretnine/4593/"
166,AMARI PROPERTIES,,,Beograd,Dunavski kej 48 11158 - Beograd,,,,,-,-,-,-,-,-,063 522525,https://www.nekretnine.rs/en/agencije-za-nekretnine/3459/
137,ANEKRETNINE,,,Beograd,Ulica Jurija Gagarina 149 11073 - Beograd,,,,,-,-,-,-,-,-,"063 259346,063 690322,063259346,063690322","https://www.indomio.rs/en/agent/anekretnine/30020,https://www.nekretnine.rs/en/agencije-za-nekretnine/1143/"
315,ANKH,,,Beograd,"Ulica Risanska, 7 7 11000 - Beograd",,,,,-,-,-,-,-,-,"061 6044429,067 7397617",https://www.nekretnine.rs/en/agencije-za-nekretnine/179/
364,APEX REAL ESTATE,,,Novi Sad,"Ulica Micurinova, 72 72 21101 - Novi Sad",,,,,-,-,-,-,-,-,"+381643335757,064 3335757","https://www.indomio.rs/en/agent/apex-real-estate/29774,https://www.nekretnine.rs/en/agencije-za-nekretnine/4747/"
141,APOLO NEKRETNINE,,,Beograd,Ulica Kralja Milutina 49 11000 - Beograd,,,,,-,-,-,-,-,-,"064 5087995,066 272747","https://www.indomio.rs/en/agent/apolo-nekretnine/30667,https://www.nekretnine.rs/en/agencije-za-nekretnine/309/"
267,ARAMONT,,,Beograd,Ulica Vojvode Milenka Stojkovica 1l 11000 - Beograd,,,,,-,-,-,-,-,-,"011 2750813,064 8941001",https://www.nekretnine.rs/en/agencije-za-nekretnine/3063/
388,AS NEKRETNINE,Zoran Knežević PR Agencija za promet nekretnina i izgradnju stambenih i nestambenih zgrada AS Nekretnine Kruševac,,broj stana: 8,"OBILIĆEVA 92, sprat: 1, broj stana: 8",104461761,60194548,31.5.2006.,Malo,"1,00","1,00","1,00","44.448.000,00","68.225.000,00","152.272.000,00","00-3655140101019,00-3655140101988,037458152,04461761,05-0000003020351,0642183203,069/807-4174,086686872",https://www.companywall.rs/firma/as-nekretnine/MMjQavsq
68,AS NEKRETNINE PRO,,,Beograd,"Ulica Momchila Cheditsha 41, Chukarica 11147 41 11147 - Beograd",,,,,-,-,-,-,-,-,"069 3304575,069 631195","https://www.indomio.rs/en/agent/as-nekretnine-pro/30847,https://www.nekretnine.rs/en/agencije-za-nekretnine/417/"
112,ASTRA NOWA,,,Beograd,"Улица Др Ивана Рибара, Нови Београд Србија, 11073 198 11073 - Beograd",,,,,-,-,-,-,-,-,"063 224106,063 224291,063224106,063224291","https://www.indomio.rs/en/agent/astra-nowa/30022,https://www.nekretnine.rs/en/agencije-za-nekretnine/1083/"
77,ATAŠE NEKRETNINE,,,Beograd,"Улица Његошева, 56, Београд Србија, 11111 56 11111 - Beograd",,,,,-,-,-,-,-,-,"011 4054407,065 2413404","https://www.indomio.rs/en/agent/ata%C5%A1e-nekretnine/30983,https://www.nekretnine.rs/en/agencije-za-nekretnine/783/"
115,ATRIUM PROPERTY SERVICES,,,Beograd,Bulevar Mihajla Pupina 165G 11070 - Beograd,,,,,-,-,-,-,-,-,"060 6406884,062 783741","https://www.indomio.rs/en/agent/atrium-property-services/30911,https://www.nekretnine.rs/en/agencije-za-nekretnine/63/"
330,AUTOR,,,Beograd,Ulica Patrijarha Varnave 30 11118 - Beograd,,,,,-,-,-,-,-,-,"011 3119187,063 377155",https://www.nekretnine.rs/en/agencije-za-nekretnine/1861/
194,AVENTIS,,,Beograd,"Ulica Obilicev venac, 18 18 11000 - Beograd",,,,,-,-,-,-,-,-,060 7301730,https://www.nekretnine.rs/en/agencije-za-nekretnine/541/
439,Awa Real Estate,,,Sombor,"Ulica Arsenija Carnojevica 28 Sombor, 25101, 28,",,,,,-,-,-,-,-,-,"+38163456319,+38163490529",https://www.indomio.rs/en/agent/awa-real-estate/10380
209,BALKAN PROPERTY MANAGEMENT,,,Beograd,"Улица Михаила Тодоровића, Београд Србија, 11050 20 11050 - Beograd",,,,,-,-,-,-,-,-,062 8227828,https://www.nekretnine.rs/en/agencije-za-nekretnine/737/
78,BEBA REAL ESTATE,,,Beograd,Ulica Macvanska 9 11118 - Beograd,,,,,-,-,-,-,-,-,"060 6969008,0606969008,063 1033958,0631033958","https://www.indomio.rs/en/agent/beba-real-estate/30879,https://www.nekretnine.rs/en/agencije-za-nekretnine/55/"
11,BEDEM NEKRETNINE,,,Srem Okrug,N/A,,,,,-,-,-,-,-,-,063 445079,https://www.nekretnine.rs/en/agencije-za-nekretnine/315/
65,BELI GRAD NEKRETNINE,,,Beograd,"Ulica Cvijitsheva, 89, Beograd Srbija, 11120 89 11120 - Beograd",,,,,-,-,-,-,-,-,"011 2625421,011 7111555,060 2395577,064 2757270","https://www.nekretnine.rs/en/agencije-za-nekretnine/1117/,https://www.nekretnine.rs/en/agencije-za-nekretnine/341/"
92,BENEFIT NEKRETNINE,,,Beograd,Nedeljka Gvozdenovića 34 86 11070 - Beograd,,,,,-,-,-,-,-,-,063 8771373,https://www.nekretnine.rs/en/agencije-za-nekretnine/277/
124,BEO STREET NEKRETNINE,,,Beograd,"Улица Молерова, 9, Београд Србија, 11111 9 11080 - Beograd",,,,,-,-,-,-,-,-,065 8216501,https://www.nekretnine.rs/en/agencije-za-nekretnine/1109/
